intensity,likelihood,relevance,start_year,end_year,country,topic,region,city
12,4,3,2017,2018,,artificial intelligence,,
16,4,4,2010,2020,,pharmaceutical,,
20,4,5,,2024,,drug,World,
16,4,4,,2019,,data,World,
12,4,3,,2020,,organization,,
12,4,3,,2022,,internet of things,,
16,4,4,,2025,United Kingdom,diabetes,Northern Europe,
12,4,3,,2018,,internet of things,,
12,4,3,,2020,,consumption,,
12,4,3,,2021,,,,
16,4,4,2017,2026,,computing,World,
6,2,3,2017,2018,,,,
30,2,5,,2020,,autonomous car,,
60,4,5,,2020,,health,,
9,3,3,2017,2026,,disease,,
72,4,6,,2025,,power,World,
60,4,5,,2025,,,World,
60,4,5,,2038,,gas,,
12,4,3,,2020,,automation,,
16,4,4,,2019,Australia,,Oceania,
16,4,4,,2050,,emission,World,
72,4,6,,2025,,camera,World,
12,4,3,2018,2023,,electronics,,
16,4,4,2018,2022,,coalition,,
12,3,4,,2048,,electricity,Asia,
16,4,4,,2018,United States of America,competition,Northern America,
60,4,5,,2025,,,Asia,
12,4,3,2018,2023,,,World,
16,4,4,,2021,,electricity,Asia,
8,2,4,,2048,Canada,gas,Northern America,
12,3,4,,2050,Cyprus,sea,Western Asia,
72,4,6,,2025,,3D,World,
12,3,4,2020,2029,,policy,,
9,3,3,,2038,,fossil fuel,,
56,4,7,,2020,,data,,
16,4,4,,2018,United States of America,production,Northern America,
16,4,4,,2050,United States of America,electricity,Northern America,
16,4,4,,2018,United States of America,eurozone,Northern America,
8,2,4,,2030,,car,World,
12,4,3,,2030,,travel,,
12,4,3,,2040,,,Northern America,
16,4,4,,2018,,interest rate,,
16,4,4,,2021,Singapore,bank,South-Eastern Asia,Singapore
10,2,5,,2030,China,economy,Eastern Asia,
12,4,3,,2040,,education,,
9,3,3,,2028,,car,,
9,3,3,,2048,,innovation,,
16,4,4,,2020,China,gas,Eastern Asia,
20,4,5,,2040,,energy,World,
8,2,4,,2030,,water,,
12,4,3,,2027,,battery,,
16,4,4,,2018,Mongolia,power,Eastern Asia,
9,3,3,,2030,,vehicle,,
15,3,5,2030,2039,,customer,World,
16,4,4,,2040,,education,Central Asia,
8,2,4,,2018,Iran,export,Northern America,
20,4,5,,2018,Iran,,Southern Asia,
16,4,4,,2018,China,consumer,Eastern Asia,
60,4,5,,2022,,revenue,,
16,4,4,,2050,,electricity,World,
12,4,3,,2050,,battery,,
12,3,4,,2060,United States of America,sea,Northern America,Miami
12,4,3,,2018,,,,
12,4,3,,2021,,bond,,
16,4,4,,2022,,energy,,
16,4,4,,2020,Saudi Arabia,women,Western Asia,
9,3,3,,2026,,finance,,
48,4,6,,2025,,medicine,World,
16,4,4,,2023,,bicycle,World,
20,4,5,,2030,,manufacturing,,
8,2,4,,2035,,aviation,World,
9,3,3,,2033,,artificial intelligence,,
12,3,4,,2050,,battery,World,
16,4,4,,2065,United States of America,population,Northern America,
6,2,3,,2018,,employment,,
12,4,3,,2021,,bond,,
16,4,4,,2021,,politics,World,
60,4,5,,2020,,asset,,
6,2,3,,2028,Greece,,Southern Europe,
30,2,5,,2025,,economy,,
12,4,3,2017,2023,,,World,
8,2,4,,2030,Sweden,transport,Northern Europe,
9,3,3,,2036,,passenger,,
64,4,4,,2030,,,,
16,4,4,,2050,United Kingdom,heating,Northern Europe,
16,4,4,,2050,,energy,World,
16,4,4,,2018,Greece,economy,Southern Europe,
9,3,3,,2048,,wealth,,
16,4,4,,2021,United States of America,investor,Northern America,
12,4,3,2018,2022,,,World,
16,4,4,2018,2027,,wind power,World,
12,3,4,2020,2029,,helicopter,,
40,4,5,,2025,,,World,
15,3,5,,2042,United States of America,policy,Northern America,
80,4,5,,2030,,economy,,
36,2,6,2018,2030,United States of America,investment,Northern America,
36,2,6,,2050,United Kingdom,infrastructure,Northern Europe,
16,4,4,,2050,,population,World,
36,2,6,,2018,,administration,,
9,3,3,,2048,,city,,
12,4,3,,2021,,artificial intelligence,,
12,4,3,2017,2021,,,World,
72,4,6,,2020,Canada,law,Northern America,
32,4,4,,2028,,,,
9,3,3,2016,2025,,,,
16,4,4,,2023,United States of America,robot,Northern America,
16,4,4,2017,2030,Singapore,gdp,South-Eastern Asia,Hong Kong
96,4,6,2015,2030,,economy,World,
16,4,4,,2030,China,waste,Eastern Asia,
12,4,3,,2030,,vehicle,,
9,3,3,,2038,,energy,,
16,4,4,,2036,,grid,,
12,3,4,,2040,Poland,plastic,Eastern Europe,
12,4,3,,2023,,passenger,,
72,4,6,2016,2023,,catalyst,World,
12,4,3,,2025,,robot,,
48,4,6,,2025,,vehicle,World,
96,4,6,2017,2020,India,retail,Southern Asia,
16,4,4,,2020,United States of America,gas,Asia,
16,4,4,,2022,Canada,economy,Northern America,
16,4,4,,2021,,vehicle,Europe,
40,4,5,2016,2021,,food,,
16,4,4,,2019,,gas,,
16,4,4,,2019,,bank,,
30,2,5,,2048,,sea,,
9,3,3,,2048,Nigeria,,Western Africa,
16,4,4,2018,2019,Australia,refugee,Oceania,
8,2,4,,2018,Venezuela,oil,South America,
80,4,5,,2050,,autonomous vehicle,,
8,2,4,,2050,Australia,car,Oceania,
9,3,3,,2030,,lithium,,
72,4,6,,2030,,water,World,
8,2,4,,2030,United States of America,power,Northern America,
12,3,4,,2030,Germany,vehicle,Western Europe,
12,4,3,,2023,,mobile device,,
48,4,4,,2023,,,,
72,4,6,,2028,Germany,war,Western Europe,
12,4,3,,2026,,software,,
40,4,5,,2025,,,World,
60,4,5,1986,2020,,health,,
8,2,4,,2020,Panama,export,Central America,
12,4,3,,2022,,data,,
16,4,4,2017,2022,,energy,World,
24,2,4,,2022,,,,
15,3,5,,2048,India,coal,Asia,
12,4,3,2016,2018,,election,,
12,4,3,,2045,United States of America,,Northern America,
16,4,4,,2019,,,,
9,3,3,,2048,,technology,,
16,4,4,,2050,United Kingdom,electricity,Northern Europe,
12,3,4,,2060,,building,World,
8,2,4,,2050,,lithium,World,
96,4,6,,2035,United States of America,energy,Northern America,
6,2,3,,2030,,plastic,,
20,4,5,,2030,,fuel,,
96,4,6,,2038,,investment,World,
12,4,3,,2023,United Kingdom,,Northern Europe,
60,4,5,,2023,,Saas,World,
8,2,4,,2025,,,,
20,4,5,,2025,,software,,
48,4,6,,2025,,glass,World,
16,4,4,,2020,,networked device,,
8,2,4,,2020,Libya,production,Europe,
16,4,4,,2021,United States of America,economy,Northern America,
8,2,4,,2021,Australia,trade,Oceania,
60,4,5,,2022,,,,
9,3,3,,2048,,battery,,
16,4,4,,2018,United States of America,retail,Northern America,
60,4,5,,2018,,,,
40,4,5,2018,2019,Australia,,Oceania,
16,4,4,,2019,Australia,work,Europe,
9,3,3,,2050,,democracy,,
16,4,4,,2050,United States of America,population,Northern America,
16,4,4,1990,2030,,emission,,
8,2,4,,2030,United States of America,physician,Northern America,
60,4,5,2021,2030,,vehicle,,
12,3,4,,2040,,car,World,
12,3,4,,2024,United States of America,workforce,Northern America,
16,4,4,,2023,United States of America,gas,Northern America,
48,4,4,,2025,,,,
12,3,4,,2025,Botswana,law,Southern Africa,
12,4,3,,2020,,fmcg,,
8,2,4,,2020,Libya,production,Europe,
72,4,6,,2020,,biology,World,
16,4,4,,2022,India,renewable energy,Southern Asia,
8,2,4,,2021,Australia,trade,Oceania,
12,4,3,,2021,United Kingdom,,Northern Europe,
8,2,4,,2048,Australia,energy,Oceania,
16,4,4,,2019,,hardware,,
20,4,5,,2019,Ireland,paper,Northern Europe,
16,4,4,,2018,,IT,,
30,2,5,,2018,,workforce,,
12,4,3,,2050,,emission,,
12,3,4,,2050,Australia,coal,Oceania,
12,3,4,,2050,,electricity,World,
16,4,4,,2018,,oil,,
12,4,3,,2018,China,,Eastern Asia,
16,4,4,2018,2019,,coal,World,
12,4,3,,2019,,internet of things,,
12,4,3,,2021,,data,,
12,4,3,,2021,,city,,
12,4,3,,2021,,retail,,
20,4,5,,2020,,vehicle,Northern America,
30,2,5,,2028,,job,,
9,3,3,,2027,,quantum,,
16,4,4,,2023,United States of America,gas,Northern America,
16,4,4,,2023,United States of America,smart thermostat,Northern America,
12,4,3,,2023,,protein,,
12,3,4,,2037,United Kingdom,emission,Northern Europe,London
12,3,4,,2030,Equatorial Guinea,forestry,Central Africa,
12,4,3,,2050,,vehicle,,
16,4,4,,2018,China,equipment,Eastern Asia,
12,4,3,,2018,China,,Eastern Asia,
20,4,5,,2018,,oil,,
16,4,4,,2048,United States of America,gas,Northern America,
8,2,4,,2021,,organic farming,World,
60,4,5,2021,2022,,economy,,
8,2,4,,2021,United States of America,oil,Northern America,
12,4,3,,2020,China,,Eastern Asia,
60,4,5,,2025,,,World,
72,4,6,,2028,Singapore,e-commerce,South-Eastern Asia,Singapore
48,4,4,,2023,,,,
16,4,4,,2023,United Kingdom,,Northern Europe,
72,4,6,2017,2023,,big data,World,
48,2,6,,2030,,economy,,
36,2,6,,2030,New Zealand,gdp,Oceania,
20,4,5,2018,2050,,energy,World,
16,4,4,,2018,,oil,,
12,4,3,2018,2019,,data,,
20,4,5,,2018,Latvia,soldier,Northern Europe,
12,4,3,,2021,,energy,,
72,4,6,,2021,Turkey,energy,Western Asia,
12,4,3,,2021,,food,,
16,4,4,,2020,China,war,Eastern Asia,
12,4,3,,2020,,city,,
12,4,3,,2025,,,World,
12,3,4,,2025,Pakistan,water,Southern Asia,
60,4,5,,2023,,capital,,
16,4,4,,2023,Guyana,oil,South America,
12,4,3,,2030,,plastic,,
16,4,4,,2030,United States of America,gas,Northern America,
30,2,5,,2050,Australia,,Oceania,
16,4,4,,2018,Australia,plastic,Oceania,
16,4,4,2017,2018,,revenue,,
12,3,4,,2048,,food,World,
10,2,5,,2021,United States of America,tariff,Northern America,
16,4,4,2017,2022,,insurance,World,
12,4,3,,2022,,equipment,,
8,2,4,,2021,,research,World,
8,2,4,,2020,Mexico,oil,Central America,
12,3,4,2020,2029,,gas,,
72,4,6,,2025,,biomarker,World,
48,4,4,,2023,,,,
60,4,5,2016,2023,,energy,,
60,4,5,,2023,,,World,
12,3,4,,2030,United States of America,battery,Northern America,
16,4,4,,2040,,fossil fuel,World,
12,3,4,,2030,Canada,oil,Northern America,
12,4,3,,2038,,research,,
9,3,3,,2030,China,,Eastern Asia,
12,4,3,,2023,,navigation,,
6,2,3,,2027,,gas,,
12,3,4,,2029,,advertising,World,
30,2,5,,2025,,service,,
16,4,4,,2020,,retail,Asia,
12,4,3,,2020,,healthcare,,
12,4,3,,2020,,cloud,,
40,4,5,2019,2020,,revenue,,
16,4,4,,2022,,artificial intelligence,World,
80,4,5,,2021,,spending,,
12,4,3,,2021,,television,,
16,4,4,,2021,Canada,job,Northern America,
40,4,5,2017,2019,,tax,,
48,4,6,2016,2018,,revenue,,
12,4,3,2018,2019,,population,,
16,4,4,,2018,,consumption,World,
20,4,5,,2018,,data,,
30,2,5,,2045,,tax,,
12,4,3,,2018,,economic growth,,
60,4,5,,2018,,internet of things,,
12,4,3,,2050,,city,,
12,4,3,,2050,,electricity,,
8,2,4,,2030,,energy,,
16,4,4,,2035,Canada,oil,Northern America,
12,3,4,2028,2032,United Kingdom,climate,Northern Europe,
12,3,4,,2038,,copper,World,
60,4,5,,2023,,,World,
72,4,6,,2027,,law,World,
8,2,4,2020,2029,United Kingdom,automation,Northern Europe,
16,4,4,,2020,,population,World,
48,4,4,,2020,,,,
12,4,3,,2020,,internet of things,,
16,4,4,,2020,,computing,World,
12,4,3,,2020,,income,,
16,4,4,2017,2022,,airplane,,
12,4,3,,2021,United States of America,,Northern America,
12,4,3,,2021,,car,,
12,3,4,,2048,,car,Europe,
40,4,5,2017,2019,,gas,,
40,4,5,2017,2019,,tax,,